Company,Valuation ($B) ,Country,Category,Select Investors
LegalZoom,$2.00 ,United States,Internet software & services,"K1 Capital, Francisco Partners, Neuberger Berman"
Mafengwo,$2.00 ,China,Travel,"Qiming Venture Partners, Capital Today, General Atlantic"
Babylon Health,$2.00 ,United Kingdom,Artificial intelligence,"Kinnevik, Vostok New Ventures, Public Investment Fund of Saudi Arabia"
Tongdun Technology,$2.00 ,China,Cybersecurity,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co."
Nuvei,$2.00 ,Canada,Other,"Caisse de depot et placement du Quebec, Novacap Investments, Goldman Sachs"
Udemy,$2.00 ,United States,Edtech,"MHS Capital, Insight Partners, Norwest Venture Partners"
4Paradigm,$2.00 ,China,Artificial intelligence,"Sequoia Capital China, China Construction Bank, Bank of China"
Tubatu.com,$2.00 ,China,E-commerce & direct-to-consumer,"Sequoia Capital China, Matrix Partners China, 58.com"
Dingdong Maicai,$2.00 ,China,E-commerce & direct-to-consumer,"Gaorong Capital, CMC Capital Partners, General Atlantic"
Postman,$2.00 ,United States,Internet software & services,"Nexus Venture Partners, CRV, Insight Partners"
Oatly,$2.00 ,Sweden,Consumer & retail,"Blackstone, Verlinvest, China Resources Holdings"
Oxford Nanopore Technologies,$1.96 ,United Kingdom,Health,"Illumina, Invesco Perpetual, IP Group"
Auth0,$1.92 ,United States,Cybersecurity,"Bessemer Venture Partners, K9 Ventures, Trinity Ventures"
eDaili,$1.90 ,China,E-commerce & direct-to-consumer,"K2VC, Lightspeed China Partners, Sky9 Capital"
monday.com,$1.90 ,United States,Internet software & services,"Entree Capital, Genesis Partners, Insight Partners"
RigUp,$1.90 ,United States,Internet software & services,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
Bolt,$1.90 ,Estonia,Auto & transportation,"Didi Chuxing, Diamler, TMT Investments"
Anduril,$1.90 ,United States,Artificial intelligence,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
MUSINSA,$1.89 ,South Korea,E-commerce & direct-to-consumer,Sequoia Capital
Quora,$2.00 ,United States,Internet software & services,"Y Combinator, Matrix Partners, Benchmark"
Figma,$2.00 ,United States,Internet software & services,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
ENOVATE,$1.85 ,China,Auto & transportation,Automobile Industry Guidance Fund
Airwallex,$1.80 ,Australia,Fintech,"DST Global, Sequoia Capital China, Tencent Holdings"
Zocdoc,$1.80 ,United States,Health,"Founders Fund, Khosla Ventures, Goldman Sachs"
Sprinklr,$1.80 ,United States,Internet software & services,"Azure Capital Partners, Battery Ventures, Intel Capital"
reddit,$1.80 ,United States,Internet software & services,"Y Combinator, Sequoia Capital, Coatue Management"
Devoted Health,$1.80 ,United States,Health,"Andreessen Horowitz, F-Prime Capital, Venrock"
